序号,经度,纬度
852,120.693945,36.354372
853,120.693945,36.354392
854,120.693946,36.354412
855,120.693946,36.354432
856,120.693947,36.354452
857,120.693947,36.354472
858,120.693948,36.354492
859,120.693949,36.354512
860,120.693949,36.354532
861,120.693950,36.354552
862,120.693950,36.354572
863,120.693951,36.354592
864,120.693951,36.354612
865,120.693952,36.354632
866,120.693952,36.354652
867,120.693953,36.354672
868,120.693954,36.354692
869,120.693954,36.354712
870,120.693955,36.354732
871,120.693955,36.354752
872,120.693956,36.354772
873,120.693956,36.354792
874,120.693957,36.354812
875,120.693957,36.354832
876,120.693958,36.354852
877,120.693959,36.354872
878,120.693959,36.354892
879,120.693960,36.354912
880,120.693960,36.354932
881,120.693961,36.354952
882,120.693961,36.354972
883,120.693962,36.354992
884,120.693962,36.355012
885,120.693963,36.355032
886,120.693964,36.355052
887,120.693964,36.355072
888,120.693965,36.355092
889,120.693965,36.355112
890,120.693966,36.355132
891,120.693966,36.355152
892,120.693967,36.355172
893,120.693967,36.355192
894,120.693968,36.355212
895,120.693969,36.355232
896,120.693969,36.355252
897,120.693970,36.355272
898,120.693970,36.355292
899,120.693971,36.355312
900,120.693971,36.355332
901,120.693972,36.355352
902,120.693972,36.355373
903,120.693973,36.355393
904,120.693974,36.355413
905,120.693974,36.355433
906,120.693975,36.355453
907,120.693975,36.355473
908,120.693976,36.355493
909,120.693976,36.355513
910,120.693977,36.355533
911,120.693977,36.355553
912,120.693978,36.355573
913,120.693979,36.355593
914,120.693979,36.355613
915,120.693980,36.355633
916,120.693980,36.355653
917,120.693981,36.355673
918,120.693981,36.355693
919,120.693982,36.355713
920,120.693982,36.355733
921,120.693983,36.355753
922,120.693984,36.355773
923,120.693984,36.355793
924,120.693985,36.355813
925,120.693985,36.355833
926,120.693986,36.355853
927,120.693986,36.355873
928,120.693987,36.355893
929,120.693987,36.355913
930,120.693988,36.355933
931,120.693989,36.355953
932,120.693989,36.355973
933,120.693990,36.355993
934,120.693990,36.356013
935,120.693991,36.356033
936,120.693991,36.356053
937,120.693992,36.356073
938,120.693992,36.356093
939,120.693993,36.356113
940,120.693994,36.356133
941,120.693994,36.356153
942,120.693995,36.356173
943,120.693995,36.356193
944,120.693996,36.356213
945,120.693996,36.356233
946,120.693997,36.356253
947,120.693997,36.356273
948,120.693998,36.356293
949,120.693999,36.356313
950,120.693999,36.356333
951,120.694000,36.356353
952,120.694000,36.356373
953,120.694001,36.356393
954,120.694001,36.356413
955,120.694002,36.356433
956,120.694002,36.356453
957,120.694003,36.356473
958,120.694004,36.356493
959,120.694004,36.356513
960,120.694005,36.356533
961,120.694005,36.356553
962,120.694006,36.356573
963,120.694006,36.356593
964,120.694007,36.356613
965,120.694007,36.356633
966,120.694008,36.356653
967,120.694009,36.356673
968,120.694009,36.356693
969,120.694010,36.356713
970,120.694010,36.356733
971,120.694011,36.356753
972,120.694011,36.356773
973,120.694012,36.356793
974,120.694012,36.356813
975,120.694013,36.356833
976,120.694013,36.356853
977,120.694014,36.356873
978,120.694015,36.356893
979,120.694015,36.356913
980,120.694016,36.356933
981,120.694016,36.356953
982,120.694017,36.356973
983,120.694017,36.356993
984,120.694018,36.357013
985,120.694018,36.357033
986,120.694019,36.357053
987,120.694020,36.357073
988,120.694020,36.357093
989,120.694021,36.357113
990,120.694021,36.357133
991,120.694022,36.357153
992,120.694022,36.357173
993,120.694023,36.357193
994,120.694023,36.357213
995,120.694024,36.357233
996,120.694025,36.357253
997,120.694025,36.357273
998,120.694026,36.357293
999,120.694026,36.357313
1000,120.694027,36.357333
1001,120.694027,36.357353
1002,120.694028,36.357373
1003,120.694028,36.357393
1004,120.694029,36.357413
1005,120.694030,36.357433
1006,120.694030,36.357453
1007,120.694031,36.357473
1008,120.694031,36.357493
1009,120.694032,36.357513
1010,120.694032,36.357533
1011,120.694033,36.357553
1012,120.694033,36.357573
1013,120.694034,36.357593
1014,120.694035,36.357613
1015,120.694035,36.357633
1016,120.694036,36.357653
1017,120.694036,36.357673
1018,120.694037,36.357693
1019,120.694037,36.357713
1020,120.694038,36.357733
1021,120.694038,36.357753
1022,120.694039,36.357773
1023,120.694040,36.357793
1024,120.694040,36.357813
1025,120.694041,36.357833
1026,120.694041,36.357853
1027,120.694042,36.357873
1028,120.694042,36.357893
1029,120.694043,36.357913
1030,120.694043,36.357933
1031,120.694044,36.357953
1032,120.694045,36.357973
1033,120.694045,36.357993
1034,120.694046,36.358013
1035,120.694046,36.358033
1036,120.694047,36.358053
1037,120.694047,36.358073
1038,120.694048,36.358093
1039,120.694048,36.358113
1040,120.694049,36.358133
1041,120.694050,36.358153
1042,120.694050,36.358174
1043,120.694051,36.358194
1044,120.694051,36.358214
1045,120.694052,36.358234
1046,120.694052,36.358254
1047,120.694053,36.358274
1048,120.694053,36.358294
1049,120.694054,36.358314
1050,120.694055,36.358334
1051,120.694055,36.358354
1052,120.694056,36.358374
1053,120.694056,36.358394
1054,120.694057,36.358414
1055,120.694057,36.358434
1056,120.694058,36.358454
1057,120.694058,36.358474
1058,120.694059,36.358494
1059,120.694060,36.358514
1060,120.694060,36.358534
1061,120.694061,36.358554
1062,120.694061,36.358574
1063,120.694062,36.358594
1064,120.694062,36.358614
1065,120.694063,36.358634
1066,120.694063,36.358654
1067,120.694064,36.358674
1068,120.694065,36.358694
1069,120.694065,36.358714
1070,120.694066,36.358734
1071,120.694066,36.358754
1072,120.694067,36.358774
1073,120.694067,36.358794
1074,120.694068,36.358814
1075,120.694068,36.358834
1076,120.694069,36.358854
1077,120.694070,36.358874
1078,120.694070,36.358894
1079,120.694071,36.358914
1080,120.694071,36.358934
1081,120.694072,36.358954
1082,120.694072,36.358974
1083,120.694073,36.358994
1084,120.694073,36.359014
1085,120.694074,36.359034
1086,120.694075,36.359054
1087,120.694075,36.359074
1088,120.694076,36.359094
1089,120.694076,36.359114
1090,120.694077,36.359134
1091,120.694077,36.359154
1092,120.694078,36.359174
1093,120.694078,36.359194
1094,120.694079,36.359214
1095,120.694080,36.359234
1096,120.694080,36.359254
1097,120.694081,36.359274
1098,120.694081,36.359294
1099,120.694082,36.359314
1100,120.694082,36.359334
1101,120.694083,36.359354
1102,120.694083,36.359374
1103,120.694084,36.359394
1104,120.694085,36.359414
1105,120.694085,36.359434
1106,120.694086,36.359454
1107,120.694086,36.359474
1108,120.694087,36.359494
1109,120.694087,36.359514
1110,120.694088,36.359534
1111,120.694088,36.359554
1112,120.694090,36.359595
1113,120.694091,36.359615
1114,120.694092,36.359636
1115,120.694093,36.359656
1116,120.694094,36.359677
1117,120.694095,36.359697
1118,120.694095,36.359718
1119,120.694096,36.359739
1120,120.694097,36.359759
1121,120.694098,36.359780
1122,120.694099,36.359800
1123,120.694101,36.359841
1124,120.694101,36.359862
1125,120.694102,36.359882
1126,120.694103,36.359902
1127,120.694103,36.359923
1128,120.694104,36.359943
1129,120.694105,36.359963
1130,120.694106,36.359983
1131,120.694106,36.360004
1132,120.694107,36.360024
1133,120.694108,36.360044
1134,120.694108,36.360065
1135,120.694109,36.360085
1136,120.694110,36.360105
1137,120.694110,36.360126
1138,120.694111,36.360146
1139,120.694112,36.360166
1140,120.694113,36.360186
1141,120.694113,36.360207
1142,120.694114,36.360227
1143,120.694115,36.360247
1144,120.694115,36.360268
1145,120.694116,36.360308
1146,120.694117,36.360328
1147,120.694117,36.360349
1148,120.694118,36.360369
1149,120.694118,36.360389
